"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"IC1","LQFP48","75.6mm","5.8mm","75.6mm","5.8mm","74.5323mm","10.7568mm","T","315.00","STM32F303CCT6"
"D3","SOT23","60.7mm","-22.3mm","60.7mm","-22.3mm","60.7mm","-21.25mm","T","360.00","SP0502BAHTG"
"D4","D-0805","71.7mm","-2.3mm","71.7mm","-2.3mm","71.7mm","-1.25mm","T","270.00","Green"
"C10","C0402","69.4mm","14.2mm","69.4mm","14.2mm","69.0464mm","13.8465mm","T","45.00","18pF"
"C9","C0402","68mm","12.8mm","68mm","12.8mm","68.3535mm","13.1535mm","T","225.00","18pF"
"J13","53398-0571","72mm","19.2mm","72mm","20.5mm","74.5mm","17.9mm","T","180.00","53398-0571"
"J7","USB3075_-_NOSLOT","61mm","-26.725mm","61mm","-29.5mm","59.7mm","-25.4mm","T","360.00","USB3075"
"J14","53398-0571","72mm","26.3mm","72mm","27.6mm","74.5mm","25mm","T","180.00","53398-0571"
"C13","C0402","72.1mm","-22.9mm","72.1mm","-22.9mm","71.6mm","-22.9mm","T","360.00","1uF"
"C14","C0402","80.1mm","-21.7mm","80.1mm","-21.7mm","80.1mm","-22.2mm","T","90.00","100nF"
"C20","C-0805","90mm","-2mm","90mm","-2mm","90mm","-2.875mm","T","90.00","100nF"
"C21","C-0805","91.8mm","-2mm","91.8mm","-2mm","91.8mm","-2.875mm","T","90.00","100nF"
