"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C33","C0603","90.6mm","16.8mm","90.6mm","16.8mm","91.45mm","16.8mm","T","180.00","47nF"
"C34","C-0805","84.4mm","27.8mm","84.4mm","27.8mm","84.4mm","28.675mm","T","270.00","10uF"
"C35","C-0805","82mm","27.8mm","82mm","27.8mm","82mm","28.675mm","T","270.00","10uF"
"C36","C-0805","79.6mm","27.8mm","79.6mm","27.8mm","79.6mm","28.675mm","T","270.00","10uF"
"D8","SMB","121.5mm","-25.5mm","121.5mm","-25.5mm","121.5mm","-27.64mm","T","90.00","SMBJ70A-TR"
"D9","SMB","108.5mm","-25.5mm","108.5mm","-25.5mm","108.5mm","-27.64mm","T","90.00","SMBJ70A-TR"
"D10","SOD123","114.1mm","5.8mm","114.1mm","5.8mm","112.425mm","5.8mm","T","360.00","BZT52C16"
"D11","SOD123","80.5mm","13.8mm","80.5mm","13.8mm","79.3156mm","14.9844mm","T","315.00","BZT52C16"
"D12","SOD123","108mm","9.6mm","108mm","9.6mm","108mm","11.275mm","T","270.00","BZT52C16"
"D13","SOD123","87.2mm","6.5mm","87.2mm","6.5mm","87.2mm","8.175mm","T","270.00","1N4148W"
"D14","SOD123","90.5mm","11.3mm","90.5mm","11.3mm","90.5mm","9.625mm","T","90.00","1N4148W"
"D15","SOD123","85.9mm","0.5mm","85.9mm","0.5mm","85.9mm","-1.175mm","T","90.00","1N4148W"
"D16","SOD123","91.8mm","6.5mm","91.8mm","6.5mm","91.8mm","4.825mm","T","90.00","1N4148W"
"D17","SOD123","108.3mm","-15mm","108.3mm","-15mm","109.975mm","-15mm","T","180.00","BZT52C16"
"F1","F1206","100mm","27.5mm","98.4mm","27.5mm","98.4mm","27.5mm","T","360.00","4A, 63V"
"Q6","SOT-23","84.4mm","11.7mm","84.4mm","11.7mm","85.4mm","11.7mm","T","270.00","BSS123"
"Q7","SOT-23","84.4mm","8.2mm","84.4mm","8.2mm","85.4mm","8.2mm","T","270.00","BSS123"
"Q8","SOT-23","75.6mm","13.1mm","75.6mm","13.1mm","75.6mm","12.1mm","T","180.00","BSS123"
"Q9","SOT-23","84.3mm","4.8mm","84.3mm","4.8mm","83.3mm","4.8mm","T","90.00","BSS123"
"Q10","SOT-23","69.3mm","-9.3mm","69.3mm","-9.3mm","69.3mm","-10.3mm","T","180.00","BSS123"
"R1","0402","67.5mm","7.2mm","67.5mm","7.2mm","68mm","7.2mm","T","180.00","10k"
"R6","2512","21mm","-27mm","21mm","-27mm","17.85mm","-27mm","T","360.00","33R"
"R7","2512","21mm","27mm","21mm","27mm","17.85mm","27mm","T","360.00","33R"
"R8","0402","79.8mm","11.4mm","79.8mm","11.4mm","80.1535mm","11.7536mm","T","225.00","1.5k"
"R18","0402","80.5071mm","10.6929mm","80.5071mm","10.6929mm","80.1535mm","10.3393mm","T","45.00","4.75k"
"R19","0402","81.2142mm","9.9858mm","81.2142mm","9.9858mm","80.8607mm","9.6322mm","T","45.00","4.75k"
"R20","0402","79.0929mm","12.1071mm","79.0929mm","12.1071mm","78.7393mm","11.7536mm","T","45.00","4.75k"
"R40","0603","83.9mm","-22.3mm","83.9mm","-22.3mm","83.9mm","-23.15mm","T","90.00","2.2K"
"R41","0805","79.6mm","24.5mm","79.6mm","24.5mm","79.6mm","25.375mm","T","270.00","1R"
"R42","0805","87.8mm","10.4mm","87.8mm","10.4mm","86.925mm","10.4mm","T","360.00","10M"
"R43","0805","87.8mm","12.5mm","87.8mm","12.5mm","88.675mm","12.5mm","T","180.00","10M"
"R44","0805","84.4mm","24.5mm","84.4mm","24.5mm","84.4mm","25.375mm","T","270.00","1R"
"R45","0805","82mm","24.5mm","82mm","24.5mm","82mm","25.375mm","T","270.00","1R"
